occurrence_id	section	paragraph	citation_raw	citation_mode	citation_key	in_text_format_status	link_status	link_url	reference_presence_status	reference_format_status	locator	pdf_path	context	issue_and_action
CIT-047	5.2.1 Efeitos por Sexo	9	Gmyrek *et al.* (2025)	narrative	gmyrek_generative_2025	OK	AUSENTE		SIM	CORRIGIR		pdfs/gmyrek_generative_2025.pdf	o nos Estados Unidos. Permanece válida, e agora isolada, a leitura da Subseção 3.5.1 e de Gmyrek *et al.* (2025) sobre a maior exposição ocupacional das mulheres à IA — que é uma afirmação sobre exposição potencial, e	Apply bold only to the main title, not the subtitle; include ILO Working Paper no. 140. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-048	5.2.2 Efeitos por raça/cor	10	Brynjolfsson; Chandar; Chen, 2025	parenthetical	brynjolfsson_canaries_2025	OK	VÁLIDO	https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/	SIM	CORRIGIR		pdfs/brynjolfsson_canaries_2025.pdf	s mobilizados nesta dissertação não apresentam estimativas causais desagregadas por raça ([Brynjolfsson; Chandar; Chen, 2025](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/); [Hosseini Maasoum; Lichtinger, 2025](https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5425555); [Kle	Apply bold only to the main title “Canaries in the coal mine?”; leave the subtitle without bold.
CIT-049	5.2.2 Efeitos por raça/cor	10	Hosseini Maasoum; Lichtinger, 2025	parenthetical	hosseini_maasoum_generative_2025	OK	VÁLIDO	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5425555	SIM	CORRIGIR		pdfs/hosseini_maasoum_generative_2025.pdf	the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/); [Hosseini Maasoum; Lichtinger, 2025](https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5425555); [Klein Teeselink, 2025](https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5516798)). Em resumo, a raç	Apply bold only to the main title, not the subtitle.
CIT-050	5.2.2 Efeitos por raça/cor	10	Klein Teeselink, 2025	parenthetical	klein_teeselink_generative_2025	OK	VÁLIDO	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5516798	SIM	CORRIGIR		pdfs/klein_teeselink_generative_2025.pdf	Maasoum; Lichtinger, 2025](https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5425555); [Klein Teeselink, 2025](https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5516798)). Em resumo, a raça/cor é a dimensão em que a heterogeneidade se sustenta com mais firmeza. A retração d	Apply bold only to the main title, not the subtitle.
CIT-051	5.2.3 Efeitos por faixa etária	1	Brynjolfsson, Chandar e Chen (2025)	narrative	brynjolfsson_canaries_2025	OK	VÁLIDO	https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/	SIM	CORRIGIR		pdfs/brynjolfsson_canaries_2025.pdf	do, está no apêndice, juntamente com os Painéis A e B da classificação etária adotada por [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/). **Tabela 5.2.3: Heterogeneidade por faixa etária — faixas PNAD/IBGE** <t	Apply bold only to the main title “Canaries in the coal mine?”; leave the subtitle without bold.
CIT-052	5.2.3 Efeitos por faixa etária	9	Brynjolfsson, Chandar e Chen (2025)	narrative	brynjolfsson_canaries_2025	OK	VÁLIDO	https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/	SIM	CORRIGIR		pdfs/brynjolfsson_canaries_2025.pdf	não reproduzem, nas admissões, a concentração do efeito entre 22 e 25 anos encontrada por [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/), que reportam queda de cerca de 12 pontos log para essa coorte. A comparação precisa ser feita com cuida	Apply bold only to the main title “Canaries in the coal mine?”; leave the subtitle without bold.
CIT-053	5.2.4 Efeitos por nível de escolaridade	8	Klein Teeselink (2025)	narrative	klein_teeselink_generative_2025	OK	VÁLIDO	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5516798	SIM	CORRIGIR		pdfs/klein_teeselink_generative_2025.pdf	mostrou aumento expressivo da exposição à IA com a escolaridade. Também é compatível com [Klein Teeselink (2025)](https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5516798), que encontra efeitos concentrados em firmas e ocupações de alta remuneração no Reino Unido. A comparaçã	Apply bold only to the main title, not the subtitle.
CIT-054	5.2.4 Efeitos por nível de escolaridade	8	Brynjolfsson, Chandar e Chen (2025)	narrative	brynjolfsson_canaries_2025	OK	VÁLIDO	https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/	SIM	CORRIGIR		pdfs/brynjolfsson_canaries_2025.pdf	no Reino Unido. A comparação não é direta, pois remuneração não equivale a escolaridade. [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/) mostram ainda que ocupações com menor proporção de graduados também podem ser afetadas, enquanto [Hossei	Apply bold only to the main title “Canaries in the coal mine?”; leave the subtitle without bold.
CIT-055	5.2.4 Efeitos por nível de escolaridade	8	Hosseini Maasoum e Lichtinger (2025)	narrative	hosseini_maasoum_generative_2025	OK	VÁLIDO	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5425555	SIM	CORRIGIR		pdfs/hosseini_maasoum_generative_2025.pdf	ainda que ocupações com menor proporção de graduados também podem ser afetadas, enquanto [Hosseini Maasoum e Lichtinger (2025)](https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5425555) identificam diferenças importantes dentro do próprio ensino superior. Em resumo, a heterogeneidade educa	Apply bold only to the main title, not the subtitle.
CIT-056	5.2.5 Efeitos por faixa salarial ocupacional	9	Klein Teeselink (2025)	narrative	klein_teeselink_generative_2025	OK	VÁLIDO	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5516798	SIM	CORRIGIR		pdfs/klein_teeselink_generative_2025.pdf	nquanto esta utiliza a mediana salarial da CBO. O padrão também converge parcialmente com [Klein Teeselink (2025)](https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5516798), que encontra maior ajuste nos segmentos de alta remuneração do Reino Unido e pouca alteração nos de bai	Apply bold only to the main title, not the subtitle.
CIT-057	5.2.5 Efeitos por faixa salarial ocupacional	9	Brynjolfsson, Chandar e Chen (2025)	narrative	brynjolfsson_canaries_2025	OK	VÁLIDO	https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/	SIM	CORRIGIR		pdfs/brynjolfsson_canaries_2025.pdf	e o topo possui suporte insuficiente. Já a ausência de efeitos salariais é compatível com [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/), que encontram ajustes mais visíveis no emprego do que na remuneração. Em resumo, a renda ocupacional é	Apply bold only to the main title “Canaries in the coal mine?”; leave the subtitle without bold.
CIT-058	5.3 Casos ocupacionais e trajetórias por idade	8	Brynjolfsson, Chandar e Chen (2025)	narrative	brynjolfsson_canaries_2025	OK	VÁLIDO	https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/	SIM	CORRIGIR		pdfs/brynjolfsson_canaries_2025.pdf	ão. A limitação é da base, não do desenho. Em conjunto, os casos brasileiros dialogam com [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/) ao localizar o ajuste mais visível nas contratações de trabalhadores mais jovens em ocupações ligadas a	Apply bold only to the main title “Canaries in the coal mine?”; leave the subtitle without bold.
